,area,location,point,lat,long,z
0,"EDSA after F/O SB, Philippines","17/F, Robinsons Cybergate Tower 1 Robinsons Cyberpark EDSA corner, Pioneer St, Mandaluyong, Metro Manila, Philippines","(14.5717936, 121.0476656, 0.0)",14.5717936,121.0476656,0.0
1,"EDSA Buendia NB, Philippines","United Nations Ave, Ermita, Manila, 1000 Metro Manila, Philippines","(14.5814595, 120.9836439, 0.0)",14.5814595,120.9836439,0.0
2,"EDSA Kalayaan NB, Philippines","Kalayaan Flyover, Metro Manila, Philippines","(14.5573124, 121.0395546, 0.0)",14.5573124,121.0395546,0.0
3,"C5 Katipunan CP. Garcia NB, Philippines","Katipunan Ave & C.P. Garcia Ave, Diliman, Quezon City, 1800 Metro Manila, Philippines","(14.6482894, 121.0743128, 0.0)",14.6482894,121.0743128,0.0
5,"C5 Lanuza SB, Philippines","Lanuza, Surigao del Sur, Philippines","(9.1515977, 126.0132051, 0.0)",9.1515977,126.0132051,0.0
6,"Marcos Highway Ligaya EB, Philippines","Eulogio Amang Rodriguez Ave, 1800 Marikina-Infanta Hwy, Pasig, 1800 Metro Manila, Philippines","(14.6182313, 121.093512, 0.0)",14.6182313,121.093512,0.0
7,"C5 Lanuza Intersection NB, Philippines","C-5 & Lanuza Ave, Pasig, Metro Manila, Philippines","(14.5776676, 121.0733921, 0.0)",14.5776676,121.0733921,0.0
9," Quezon Ave. Roces EB, Philippines","68 Don A. Roces Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines","(14.6300185, 121.0267021, 0.0)",14.6300185,121.0267021,0.0
11,"EDSA vv. Soliven SB, Philippines","San Juan, Metro Manila, Philippines","(14.6052647, 121.0573573, 0.0)",14.6052647,121.0573573,0.0
12,"C5 Boni Serrano Tunnel SB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
14,"Commonwealth Balara WB, Philippines","Amsterdam Avenue, Don Antonio Drive, Brgy. Batasan Hills, Matandang Balara, Quezon City, 1109 Metro Manila, Philippines","(14.6765861, 121.0872741, 0.0)",14.6765861,121.0872741,0.0
15,"Commonwealth Balara WB, Philippines","Amsterdam Avenue, Don Antonio Drive, Brgy. Batasan Hills, Matandang Balara, Quezon City, 1109 Metro Manila, Philippines","(14.6765861, 121.0872741, 0.0)",14.6765861,121.0872741,0.0
16,"Commonwealth Tandang Sora EB, Philippines","Kalayaan St, Tandang Sora, Quezon City, 1107 Metro Manila, Philippines","(14.689559, 121.0508122, 0.0)",14.689559,121.0508122,0.0
19,"Commonwealth TSora EB, Philippines","Sm Aura Premier, McKinley Pkwy, Taguig, 1634 Metro Manila, Philippines","(14.546101, 121.054206, 0.0)",14.546101,121.054206,0.0
